AILERON POSITION LH,AILERON POSITION RH,CORRECTED ANGLE OF ATTACK,BARO CORRECT ALTITUDE LSP,BARO CORRECT ALTITUDE LSP,COMPUTED AIRSPEED LSP,SELECTED COURSE,DRIFT ANGLE,ELEVATOR POSITION LEFT,ELEVATOR POSITION RIGHT,T.E. FLAP POSITION,GLIDESLOPE DEVIATION,SELECTED HEADING,SELECTED AIRSPEED,LOCALIZER DEVIATION,N1 COMMAND LSP,TOTAL PRESSURE LSP,PITCH ANGLE LSP,ROLL ANGLE LSP,RUDDER POSITION,TRUE HEADING LSP,VERTICAL ACCELERATION,WIND SPEED,AP FD STATUS,GEARS L&R DOWN LOCKED,TCAS LSP,WEIGHT ON WHEELS
65.50853,64.91525,0.004292081,1226.436,1235.8843,-0.0007749882,-67.060074,0.34787083,21.008347,62.889908,116.0,-0.033930007,118.91517,139.0,-0.28204396,7.495232,964.62616,0.20286909,0.2731751,1.334036,-60.547028,0.965701,0.110753424,2,0,0,0
65.52899,64.91525,-0.0042890273,736.4524,746.1479,0.00077906507,-67.060074,-0.35445437,21.008347,62.889908,116.0,-0.027689995,118.91517,139.0,-0.28125998,-1.6894989,976.6835,0.3854824,0.5414328,2.170247,-105.442055,1.0328002,-0.10956608,2,0,0,0
65.50853,64.93571,0.004285986,875.29895,885.2381,-0.0007832492,-67.060074,0.36144438,20.96743,62.889908,116.0,-0.03899998,118.91517,139.0,-0.28361198,0.9246866,972.62225,0.31180477,0.44442558,1.6810253,-92.53231,0.9536893,0.10840479,2,0,0,0
65.52899,64.91525,-0.004282957,793.0697,802.5251,0.00078753923,-67.060074,-0.36887398,20.987888,62.889908,116.0,-0.08267999,118.91517,139.0,-0.07585199,-0.6326982,975.0662,0.33066896,0.4561326,2.100344,-100.366425,1.0468194,-0.10726872,2,0,0,0
65.50853,64.91525,0.0042799413,851.7937,861.6017,-0.0007919339,-67.060074,0.37678036,21.008347,62.889908,116.0,-0.08345997,118.91517,139.0,-0.07545997,0.48040894,973.3557,0.27846545,0.3920111,1.7110848,-94.74559,0.932109,0.106157064,2,0,0,0
65.52899,64.91525,-0.0042769383,805.4742,815.3158,0.00079643197,-67.060074,-0.3852051,20.987888,62.889908,116.0,-0.08345997,118.91517,139.0,-0.07545997,-0.38732287,974.70123,0.3085546,0.3819791,2.0967817,-99.18606,1.0797163,-0.10506905,2,0,0,0
65.52899,64.89479,0.004273948,842.9843,852.5102,-0.0008010322,-67.060074,0.39419505,21.008347,62.889908,116.0,-1.4062418e-16,118.91517,139.0,-0.27949598,0.32465369,973.56946,0.2745538,0.2823913,1.7598373,-95.573616,0.87453276,0.104003936,2,0,0,0
65.52899,64.89479,-0.0042709704,811.1084,821.5773,0.0008057333,-67.060074,-0.40380302,20.987888,62.889908,117.0,-0.05031002,118.91517,139.0,-0.14111997,-0.27962765,974.5311,0.29794347,0.16077727,2.117758,-98.77327,1.2152876,-0.10296101,2,0,0,0
65.52899,64.91525,0.004268006,838.4701,847.6064,-0.0008105341,-67.060074,0.414089,21.008347,62.889908,116.0,-0.008970024,118.91517,139.0,-0.295764,0.24572958,973.7419,0.30330193,0.118545175,1.7605498,-95.97099,-0.12181842,0.101939596,2,0,0,0
65.50853,64.91525,-0.0042650546,813.794,824.21643,0.0008154335,-67.060074,-0.42512104,21.008347,62.869453,117.0,-0.031199994,118.91517,139.0,-0.20991595,-0.21929452,974.39856,0.28979614,0.2715155,2.081772,-98.334755,-0.26319724,-0.100939035,2,0,0,0
65.52899,64.89479,0.0042621163,835.9315,845.3931,-0.0008204303,-67.060074,0.436977,20.987888,62.889908,116.0,-0.009360017,118.91517,139.0,-0.25675997,0.1981051,973.7647,0.28370476,0.24209785,1.8057697,-96.05517,0.19034763,0.0999587,2,0,0,0
65.50853,64.87434,-0.004259191,816.2948,826.00006,0.00082552334,-67.060074,-0.44974616,21.008347,62.869453,116.0,-0.001559975,118.91517,139.0,-0.274596,-0.180742,974.35297,0.30952594,0.23722869,2.1683214,-97.99473,-0.37569693,-0.098998,2,0,0,0
65.52899,64.85388,0.0042562787,834.4864,844.24316,-0.0008307115,-67.060074,0.46353143,21.008347,62.889908,116.0,-0.00077998854,118.91517,139.0,-0.26734397,0.16625494,973.8217,0.33066112,0.015957316,1.8397616,-96.06217,-0.08705154,0.09805635,2,0,0,0
