AILERON POSITION LH,AILERON POSITION RH,CORRECTED ANGLE OF ATTACK,BARO CORRECT ALTITUDE LSP,BARO CORRECT ALTITUDE LSP,COMPUTED AIRSPEED LSP,SELECTED COURSE,DRIFT ANGLE,ELEVATOR POSITION LEFT,ELEVATOR POSITION RIGHT,T.E. FLAP POSITION,GLIDESLOPE DEVIATION,SELECTED HEADING,SELECTED AIRSPEED,LOCALIZER DEVIATION,N1 COMMAND LSP,TOTAL PRESSURE LSP,PITCH ANGLE LSP,ROLL ANGLE LSP,RUDDER POSITION,TRUE HEADING LSP,VERTICAL ACCELERATION,WIND SPEED,AP FD STATUS,GEARS L&R DOWN LOCKED,TCAS LSP,WEIGHT ON WHEELS
90.59004,90.16042,-0.010117262,837.1608,842.28357,0.013217474,124.891685,-5.7550964,-40.99985,61.498764,117.0,0.0011700001,117.94838,134.0,-0.097607985,8.062782,982.4348,0.042829245,-0.079208024,-0.122271314,-104.23737,1.0009673,37.716766,2,0,0,0
90.610504,90.16042,0.010093817,820.1548,816.98346,-0.013222298,124.891685,-4.880019,-40.99985,61.498764,117.0,0.00507,117.94838,134.0,-0.12152,-1.8028069,983.25104,0.19080944,0.30565134,-1.2842516,-73.239006,0.9863078,-8.466796,2,0,0,0
90.59004,90.16042,-0.010070434,824.9413,823.6184,0.013227277,124.891685,-8.364772,-41.9,61.498764,117.0,0.00351,117.94838,134.0,-0.107408,0.97818965,982.9821,0.14982311,0.20718531,-0.79613453,-82.13334,1.003071,4.6137214,2,0,0,0
90.59004,90.2218,0.010047111,821.93243,820.1775,-0.013232415,124.891685,-3.3708332,-40.99985,61.498764,117.0,0.01365,117.94838,134.0,-0.08663197,-0.66339326,983.1512,0.17557192,0.2651162,-1.1515496,-76.7966,0.98431164,-3.1428022,2,0,0,0
90.65141,90.2218,-0.010023849,823.69385,822.10876,0.013237706,124.891685,-10.154141,-40.99985,61.498764,117.0,0.018720001,117.94838,134.0,-0.12347998,0.49922684,983.02325,0.15618575,0.22410598,-0.833196,-80.64438,1.0046576,2.3757067,2,0,0,0
90.610504,90.16042,0.010000647,822.5255,820.5609,-0.013243155,124.891685,-0.91023755,-40.979393,61.519226,117.0,0.00741,117.94838,134.0,-0.11407198,-0.39889586,983.122,0.17531696,0.25259632,-1.1257286,-77.62192,0.98238283,-1.9068846,2,0,0,0
90.52867,90.13997,-0.0099775065,824.5913,823.0347,0.013248757,124.891685,-35.275818,-40.99985,61.498764,117.0,0.00273,117.94838,134.0,-0.137984,0.33136156,983.0573,0.14828783,0.21459302,-0.8413607,-80.12155,1.0074027,1.5913061,2,0,0,0
90.48775,89.8331,0.0099544255,823.19965,821.2935,-0.013254515,124.891685,-92.59417,-40.99985,61.498764,117.0,0.01092,117.94838,134.0,-0.23735596,-0.28285065,983.1095,0.14704771,0.23467809,-1.0688437,-78.03494,0.98046577,-1.3646154,2,0,0,0
90.26271,89.85355,-0.009931404,823.20996,822.2691,0.013260426,124.891685,-89.93048,-40.99985,61.519226,117.0,0.00195,117.94838,134.0,0.020776,0.2463382,983.0467,0.118774615,0.19021612,-0.8150364,-80.002686,1.0094652,1.1939881,2,0,0,0
90.28317,89.9763,0.009908443,824.1734,822.62585,-0.013266491,124.891685,-87.90978,-40.99985,61.498764,117.0,0.0011700001,117.94838,134.0,-0.17385198,-0.21787249,983.07367,0.107750475,0.21774872,-1.0563558,-78.43621,0.9767436,-1.0609596,2,0,0,0
90.50821,90.18088,-0.009885542,824.2396,822.643,0.013272709,124.891685,-95.9944,-40.958935,61.498764,117.0,-2.6036203e-17,117.94838,134.0,0.303996,0.19506264,982.9875,0.10245073,0.20069358,-0.8468517,-79.96167,1.0131111,0.9543585,2,0,0,0
90.56958,90.18088,0.0098627,823.7389,821.42584,-0.013279079,124.891685,-35.052868,-40.958935,61.47831,116.0,-0.092429996,117.94838,134.0,-0.096431985,-0.17637824,983.09125,0.093325265,0.1826254,-1.0836753,-78.49348,0.9732486,-0.86703396,2,0,0,0
90.56958,90.16042,-0.009839917,824.0639,822.63654,0.013285603,124.891685,8.692975,-40.958935,61.498764,117.0,-0.08345997,117.94838,134.0,-0.07643999,0.1607947,983.03253,0.079648905,0.18572274,-0.8607317,-79.45945,1.0179515,0.79419845,2,0,0,0
90.549126,90.13997,0.009817193,823.7546,821.7998,-0.013292278,124.891685,-5.1067467,-40.958935,61.498764,116.0,-0.08345997,117.94838,134.0,-0.07741998,-0.1476004,983.068,0.09055901,0.15554287,-1.0742694,-77.7588,0.9673254,-0.7325269,2,0,0,0
90.59004,90.20134,-0.009794528,823.93726,822.3808,0.013299106,124.891685,3.6861835,-40.958935,61.498764,117.0,-2.1068446e-16,117.94838,134.0,-0.195412,0.13628575,983.0448,0.04246507,0.107316464,-0.8414204,-78.04916,1.0239393,0.6796384,2,0,0,0
90.610504,90.20134,0.009771922,823.55884,821.4513,-0.013306084,124.891685,-2.9187522,-40.979393,61.498764,117.0,0.0023400001,117.94838,134.0,-0.156016,-0.12647638,983.07666,-0.0077552204,0.0777277,-1.0628442,-75.92861,0.95970184,-0.63378346,2,0,0,0
90.610504,90.242256,-0.009749374,824.6313,822.7596,0.013313213,124.891685,2.4348576,-40.958935,61.498764,117.0,0.00273,117.94838,134.0,0.17012799,0.11789103,983.0451,-0.073691286,0.0492166,-0.8475144,-75.6234,1.0342864,0.593648,2,0,0,0
90.65141,90.242256,0.009726885,822.30164,821.0744,-0.013320493,124.891685,-2.1003814,-40.979393,61.498764,117.0,0.0039,117.94838,134.0,-0.190708,-0.110314384,983.1466,-0.074504696,0.06529366,-1.069766,-73.10528,0.94698995,-0.55822605,2,0,0,0
90.610504,90.13997,-0.009704454,823.91406,821.27466,0.013327923,124.891685,1.8548121,-40.958935,61.498764,117.0,-1.129873e-16,117.94838,134.0,0.30654398,0.10357877,983.1001,-0.17372459,0.010345554,-0.87201965,-72.28258,1.0495318,0.526734,2,0,0,0
90.63096,89.26027,0.009682081,823.3034,821.6879,-0.013335503,124.891685,-1.666743,-40.979393,61.47831,117.0,-2.230271e-16,117.94838,134.0,0.327124,-0.09755172,983.09625,-0.15115982,-0.05971757,-1.1148546,-69.81178,0.92857355,-0.49855295,2,0,0,0
90.65141,89.4444,-0.009659765,823.82635,821.7694,0.013343233,124.891685,1.5181985,-40.979393,61.47831,117.0,0.00039,117.94838,134.0,0.26636398,0.09212718,983.0724,-0.15196131,-0.031785652,-0.97707826,-68.92697,1.0463674,0.47318733,2,0,0,0
90.671875,89.66943,0.009637507,823.222,821.2685,-0.013351112,124.891685,-1.3981225,-40.979393,61.498764,117.0,0.00741,117.94838,134.0,-0.281064,-0.08721923,983.11884,-0.16473591,-0.016954085,-1.1926833,-66.40378,-0.7938974,-0.45023575,2,0,0,0
90.671875,89.77172,-0.009615307,823.58075,821.4887,0.013359141,124.891685,1.2993323,-40.979393,61.498764,117.0,0.00312,117.94838,134.0,-0.334572,0.08275755,983.0859,-0.15728669,0.022529226,-0.9915212,-65.27956,0.15690322,0.42936957,2,0,0,0
90.69233,89.62851,0.009593163,822.83234,820.9304,-0.013367318,124.891685,-1.2169583,-40.979393,61.519226,117.0,0.0046800002,117.94838,134.0,-0.12406798,-0.07868402,983.12506,-0.1398689,0.008332429,-1.1765846,-62.73539,-0.403476,-0.41031724,2,0,0,0
90.671875,89.66943,-0.009571076,823.3069,821.7163,0.013375643,124.891685,1.1475874,-40.979393,61.519226,117.0,0.00507,117.94838,134.0,0.356524,0.07495017,983.0953,-0.12165293,0.00047820408,-0.98016256,-61.659603,0.19698438,0.39285234,2,0,0,0
90.671875,89.93539,0.009549047,823.06274,821.0212,-0.013384117,124.891685,-1.0887659,-40.979393,61.53968,117.0,0.00702,117.94838,134.0,-0.23657198,-0.0715153,983.11145,-0.13885982,0.0040113037,-1.1699622,-59.34049,-0.4349658,-0.3767846,2,0,0,0
90.671875,89.792175,-0.009527074,823.6168,821.82007,0.013392738,124.891685,1.0386955,-40.979393,61.56014,117.0,0.00858,117.94838,134.0,-0.29439202,0.06834494,983.08923,-0.17408846,-0.026022738,-0.9769862,-58.381523,-0.5761985,0.36195305,2,0,0,0
90.63096,89.91493,0.009505157,824.02655,821.19763,-0.013401507,124.891685,-0.9960442,-40.979393,61.53968,117.0,0.01014,117.94838,134.0,0.093884,-0.065409735,983.117,-0.2068065,0.00017526688,-1.1673139,-56.12944,-0.7621242,-0.34822044,2,0,0,0
90.65141,90.037674,-0.009483297,824.4898,822.1715,0.013410425,124.891685,0.9598234,-40.979393,61.56014,117.0,0.0078,117.94838,134.0,-0.037827983,0.06268449,983.07697,-0.2562683,0.013838937,-0.9664663,-55.127777,-0.9310733,0.33546913,2,0,0,0
90.671875,90.037674,0.009461493,824.12964,821.53253,-0.013419489,124.891685,-0.92930746,-40.979393,61.519226,118.0,0.00897,117.94838,134.0,0.08722,-0.060147516,983.1302,-0.28403082,0.029120741,-1.1324801,-53.005356,0.7769078,-0.3235977,2,0,0,0
90.63096,90.18088,-0.009439744,824.51904,822.03534,0.013428701,124.891685,0.9039827,-40.979393,61.519226,117.0,0.01053,117.94838,134.0,0.262444,0.057779986,983.0488,-0.3062321,0.020087728,-0.9434093,-52.025482,0.38227916,0.31251824,2,0,0,0
90.671875,90.2218,0.009418051,823.7523,822.24084,-0.013438059,124.891685,-0.88351655,-40.979393,61.56014,117.0,0.00078,117.94838,134.0,-0.305172,-0.055565506,983.05505,-0.33116367,-0.025174683,-1.1173806,-50.09651,0.68861806,-0.30215412,2,0,0,0
90.65141,90.13997,-0.009396413,824.6428,823.2337,0.013447564,124.891685,0.86774325,-40.979393,61.519226,117.0,0.00039,117.94838,134.0,-0.321048,0.053489737,983.05273,-0.35263902,-0.0026221594,-0.9146424,-49.372105,-0.11088859,0.2924384,2,0,0,0
90.671875,90.16042,0.009374831,824.2347,822.5227,-0.013457216,124.891685,-0.85666454,-40.99985,61.519226,118.0,0.00975,117.94838,134.0,0.14308,-0.05154007,983.06177,-0.36728853,-0.013014287,-1.1044072,-47.62627,1.1761119,-0.28331205,2,0,0,0
90.671875,90.242256,-0.009353304,823.9547,822.2365,0.013467015,124.891685,0.8504671,-40.99985,61.498764,117.0,0.01287,117.94838,134.0,-0.310268,0.049705375,983.0591,-0.3972085,-0.08124783,-0.90453243,-46.715336,0.084152035,0.27472317,2,0,0,0
90.671875,90.26271,0.009331831,824.2547,822.7355,-0.0134769585,124.891685,-0.8495612,-40.979393,61.498764,118.0,0.0078,117.94838,134.0,0.22148,-0.047975797,983.07556,-0.3860505,-0.10689372,-1.1039813,-44.80571,0.13834338,-0.26662567,2,0,0,0
90.671875,90.303635,-0.009310413,823.43994,822.482,0.013487049,124.891685,0.85465133,-40.99985,62.112503,117.0,0.01014,117.94838,134.0,0.23813999,0.04634258,983.07654,-0.3482465,-0.17307226,-0.90853655,-43.88617,0.28707165,0.25897864,2,0,0,0
90.69233,90.28317,0.00928905,824.03815,822.7406,-0.013497286,124.891685,-0.86685675,-40.979393,64.93571,117.0,0.0023400001,117.94838,134.0,-0.123872,-0.044797905,983.1039,-0.2653534,-0.3633066,-1.1168622,-41.928925,0.69569165,-0.25174555,2,0,0,0
90.71278,90.26271,-0.00926774,823.6531,822.0684,0.013507668,124.891685,0.88792086,-40.979393,61.580597,117.0,0.00585,117.94838,134.0,0.30360398,0.04333478,983.0707,-0.18718556,-0.4547929,-0.9369834,-40.873245,0.4761258,0.2448937,2,0,0,0
90.71278,90.242256,0.009246484,823.76,822.3803,-0.013518196,124.891685,-0.9205833,-40.99985,61.53968,117.0,0.00273,117.94838,134.0,0.21854,-0.041946925,983.07837,-0.08670832,-0.45077553,-1.1396993,-38.731544,0.86598444,-0.23839381,2,0,0,0
90.71278,90.2218,-0.009225283,824.1346,822.34436,0.0135288695,124.891685,0.9692768,-40.979393,61.498764,117.0,0.00351,117.94838,134.0,0.10250799,0.040628698,983.0585,0.03474023,-0.38297695,-0.9542865,-37.208668,1.0279772,0.23221946,2,0,0,0
90.733246,90.13997,0.009204135,823.85114,822.1032,-0.013539689,124.891685,-1.0415207,-40.979393,61.47831,117.0,0.01092,117.94838,134.0,-0.20442797,-0.039375,983.0874,0.1428372,-0.35605702,-1.1882292,-34.734802,0.984771,-0.22634684,2,0,0,0
90.52867,90.07859,-0.009183041,823.83374,821.93677,0.013550653,124.891685,1.1509644,-40.99985,61.47831,117.0,0.0156,117.94838,134.0,-0.319676,0.03818121,983.0166,0.20651804,-0.30523717,-0.96744907,-32.959038,0.9921396,0.22075438,2,0,0,0
90.52867,90.099045,0.009161999,823.7171,822.13275,-0.013561763,124.891685,-1.3248546,-40.979393,61.457848,117.0,0.00312,117.94838,134.0,0.051939998,-0.037043154,983.0497,0.27581003,-0.43355834,-1.1653845,-29.95035,1.0011281,-0.21542256,2,0,0,0
90.48775,89.95584,-0.00914101,824.51624,822.7014,0.013573018,124.891685,1.6255535,-41.02031,61.498764,117.0,-0.09281999,117.94838,134.0,-0.07918398,0.035957024,983.0856,0.3128827,-0.4935825,-0.93711704,-27.434969,0.9839151,0.21033357,2,0,0,0
90.28317,89.8331,0.009120075,824.38947,822.48846,-0.013584418,124.891685,-2.2291856,-40.99985,61.498764,117.0,-0.081120014,117.94838,134.0,-0.07800798,-0.034919355,983.076,0.35348985,-0.4613899,-1.1586976,-24.213047,1.0047863,-0.20547125,2,0,0,0
90.2218,89.75127,-0.009099192,824.2948,822.2168,0.013595963,124.891685,3.8543634,-40.99985,61.498764,117.0,-0.08424002,117.94838,134.0,-0.07643999,0.03392698,983.09235,0.37822294,-0.43016863,-0.93050957,-22.234669,0.9818285,0.20082079,2,0,0,0
90.242256,90.20134,0.009078361,824.5808,822.5652,-0.013607654,124.891685,-13.791751,-40.979393,61.519226,117.0,-1.7120031e-16,117.94838,134.0,-0.10407598,-0.032977007,983.09924,0.37601465,-0.4033081,-1.1309131,-20.07696,1.0085139,-0.19636866,2,0,0,0
90.610504,90.20134,-0.009057582,824.6394,822.40936,0.013619489,124.891685,-90.55862,-40.979393,61.519226,117.0,-5.894989e-17,117.94838,134.0,0.150136,0.03206678,983.04626,0.30942193,-0.3872149,-0.93505573,-19.357141,0.97965443,0.19210249,2,0,0,0
90.610504,90.20134,0.009036856,823.57916,821.9429,-0.01363147,124.891685,-88.995186,-40.99985,61.519226,117.0,0.00741,117.94838,134.0,-0.04370798,-0.031193864,983.1206,0.34363112,-0.35358736,-1.131355,-18.359962,1.0096891,-0.18801087,2,0,0,0
90.610504,89.26027,-0.00901618,823.81616,821.26227,0.013643594,124.891685,-90.783966,-40.979393,61.41693,117.0,-0.0031200072,117.94838,134.0,0.308112,0.030356014,983.0977,0.35178533,-0.30641246,-0.97329724,-18.408241,0.9781251,0.18408331,2,0,0,0
90.59004,89.301186,0.008995557,823.07983,821.30615,-0.013655865,124.891685,-89.346115,-40.99985,61.519226,117.0,0.0023400001,117.94838,134.0,0.33437598,-0.029551165,983.11224,0.36699155,-0.30415112,-1.1980993,-17.903015,1.0094624,-0.18031017,2,0,0,0
90.610504,89.62851,-0.008974985,823.15076,821.85126,0.01366828,124.891685,-90.62279,-40.99985,61.53968,117.0,0.00156,117.94838,134.0,0.329476,0.02877741,983.08997,0.35845473,-0.31343573,-0.97960246,-18.231083,0.97844213,0.17668255,2,0,0,0
90.610504,89.4444,0.008954464,822.8239,820.4047,-0.013680841,124.891685,-89.26221,-40.958935,61.519226,117.0,0.00663,117.94838,134.0,0.306936,-0.02803298,983.0969,0.37740204,-0.30684868,-1.2070097,-17.895174,1.0097593,-0.17319217,2,0,0,0
90.610504,89.75127,-0.008933995,822.7906,821.1819,0.013693546,124.891685,-91.25594,-40.979393,61.519226,117.0,0.00078,117.94838,134.0,0.274988,0.02731625,983.1119,0.38280535,-0.28559536,-0.95469284,-18.27899,0.9784907,0.16983142,2,0,0,0
