AILERON POSITION LH,AILERON POSITION RH,CORRECTED ANGLE OF ATTACK,BARO CORRECT ALTITUDE LSP,BARO CORRECT ALTITUDE LSP,COMPUTED AIRSPEED LSP,SELECTED COURSE,DRIFT ANGLE,ELEVATOR POSITION LEFT,ELEVATOR POSITION RIGHT,T.E. FLAP POSITION,GLIDESLOPE DEVIATION,SELECTED HEADING,SELECTED AIRSPEED,LOCALIZER DEVIATION,N1 COMMAND LSP,TOTAL PRESSURE LSP,PITCH ANGLE LSP,ROLL ANGLE LSP,RUDDER POSITION,TRUE HEADING LSP,VERTICAL ACCELERATION,WIND SPEED,AP FD STATUS,GEARS L&R DOWN LOCKED,TCAS LSP,WEIGHT ON WHEELS
73.32349,71.011734,0.0006371241,822.9083,826.1122,-0.0061735595,124.891685,0.33855945,20.681019,59.780293,118.0,-0.00077998854,-61.08354,132.0,-0.20658399,7.480169,988.4889,0.2909712,0.19189127,-1.1130471,-93.34971,1.004315,-0.056674335,2,0,0,0
73.32349,71.011734,-0.0006296164,803.3415,807.35864,0.006127737,124.891685,-0.41524863,20.578732,59.80075,118.0,0.04134,-61.08354,132.0,-0.18678798,-1.6744449,989.58527,0.5872741,0.33732352,-0.9736897,-162.55696,1.0474724,0.055908445,2,0,0,0
73.34395,71.011734,0.00062215753,808.52826,811.95905,-0.006082336,124.891685,0.51907134,20.435524,59.80075,118.0,2.3688951e-15,-61.08354,132.0,-0.17836,0.9096417,989.21747,0.45869565,0.2720415,-1.2014983,-143.18854,0.9820526,-0.055164453,2,0,0,0
73.34395,71.032196,-0.00061474706,805.8238,808.9466,0.00603735,124.891685,-0.66504735,20.537815,59.82121,118.0,0.01287,-61.08354,132.0,-0.18796398,-0.6176624,989.404,0.49923018,0.31460515,-0.96906143,-155.25165,1.0992726,0.05444143,2,0,0,0
73.34395,71.032196,0.00060738425,807.64307,810.9929,-0.0059927735,124.891685,0.8805913,20.619644,59.780293,118.0,0.00273,-61.08354,132.0,-0.14288397,0.4653822,989.2399,0.39944503,0.30183014,-1.193276,-147.11714,0.73146564,-0.05373852,2,0,0,0
73.32349,71.032196,-0.0006000685,805.9501,809.4402,0.0059486004,124.891685,-1.2206752,20.333233,59.80075,118.0,0.0093600005,-61.08354,132.0,-0.16444398,-0.37230524,989.3953,0.44322562,0.26550707,-0.9536376,-154.10236,-0.74795276,0.053054903,2,0,0,0
73.34395,71.032196,0.0005927991,807.6824,810.68414,-0.0059048254,124.891685,1.8111801,20.701477,59.80075,118.0,0.00156,-61.08354,132.0,-0.21618797,0.3096452,989.2874,0.48037744,0.27110562,-1.2159323,-148.83638,0.00050957745,-0.052389797,2,0,0,0
73.34395,71.011734,-0.0005855756,805.64075,808.8794,0.0058614435,124.891685,-3.0060477,20.537815,59.780293,118.0,0.03978,-61.08354,132.0,-0.17267598,-0.26462835,989.3651,0.5427735,0.26794812,-0.9595744,-153.57486,-0.2313713,0.051742475,2,0,0,0
73.32349,71.032196,0.00057839724,806.9603,809.68256,-0.005818448,124.891685,6.25548,20.537815,59.80075,119.0,0.03159,-61.08354,132.0,-0.20325197,0.23073946,989.3301,0.57167405,0.28274518,-1.2209165,-149.61165,0.16180496,-0.051112235,2,0,0,0
73.3644,71.011734,-0.00057126355,805.92413,808.9029,0.005775835,124.891685,-31.271719,20.496899,59.82121,118.0,-0.0011699818,-61.08354,132.0,-0.21383597,-0.20431359,989.3994,0.53466094,0.27984837,-0.9582791,-153.49103,-0.70014054,0.05049842,2,0,0,0
73.34395,71.032196,0.0005641739,807.35925,810.123,-0.005733598,124.891685,-25.768793,20.537815,59.80075,118.0,-0.012090029,-61.08354,132.0,-0.231672,0.18313341,989.33435,0.5367361,0.2687591,-1.2153864,-150.68256,-0.13788639,-0.049900398,2,0,0,0
73.32349,71.011734,-0.0005571278,806.5882,809.3641,0.0056917327,124.891685,15.898717,20.640102,59.80075,119.0,0.00078,-61.08354,132.0,-0.2205,-0.16577953,989.38434,0.5693893,0.24470235,-0.9587566,-153.98071,-0.4158082,0.049317576,2,0,0,0
73.34395,71.032196,0.0005501246,806.8363,810.1385,-0.005650234,124.891685,-39.230618,20.292316,59.80075,118.0,-0.015209975,-61.08354,132.0,-0.21148397,0.15130173,989.302,0.6234371,0.28839338,-1.2260747,-151.62312,-0.086014114,-0.04874939,2,0,0,0
73.34395,71.032196,-0.0005431638,806.49207,809.7106,0.005609097,124.891685,-93.21932,20.292316,59.80075,118.0,-0.021449985,-61.08354,132.0,-0.21089597,-0.13904001,989.3659,0.60351056,0.26960707,-0.95032585,-154.60643,0.48594114,0.0481953,2,0,0,0
73.34395,71.032196,0.0005362448,807.2628,810.3264,-0.005568316,124.891685,-67.30673,20.455982,59.82121,118.0,-0.001559975,-61.08354,132.0,-0.21795197,0.12852177,989.34796,0.567436,0.24689747,-1.223124,-152.75826,0.67727965,-0.04765479,2,0,0,0
73.34395,71.032196,-0.00052936724,807.2099,810.4851,0.0055278875,124.891685,-88.72802,20.47644,59.841667,118.0,0.01209,-61.08354,132.0,-0.22265597,-0.1193998,989.36096,0.5348248,0.25481713,-0.94530374,-155.47876,-0.11821388,0.047127374,2,0,0,0
73.32349,71.032196,0.0005225304,807.5653,810.6944,-0.005487806,124.891685,-93.27213,20.496899,59.80075,118.0,0.00039,-61.08354,132.0,-0.21461995,0.11141326,989.2893,0.56286573,0.20442346,-1.2699548,-154.04604,-0.048812166,-0.046612587,2,0,0,0
73.34395,71.05265,-0.0005157339,806.9939,809.937,0.005448067,124.891685,-76.590355,20.37415,59.882584,120.0,-0.008970024,-61.08354,132.0,-0.20109595,-0.104362436,989.3566,0.64922047,0.20001258,-1.0370746,-156.62779,0.4389065,0.046109986,2,0,0,0
73.34395,70.95036,0.00050897716,807.4902,810.609,-0.0054086666,124.891685,0.8197943,20.455982,59.90304,119.0,0.00312,-61.08354,132.0,-0.233436,0.09809184,989.3186,0.6461526,0.2345853,-1.1948873,-155.04028,0.97023696,-0.045619145,2,0,0,0
73.32349,71.032196,-0.00050225976,806.442,809.5602,0.0053695994,124.891685,-1.1768613,20.333233,59.82121,118.0,0.01287,-61.08354,132.0,-0.19697995,-0.092478596,989.3395,0.6006248,0.2560382,-1.0296872,-156.72464,1.0279498,0.045139663,2,0,0,0
73.34395,71.05265,0.0004955812,806.88214,809.76917,-0.0053308615,124.891685,0.88099676,20.537815,59.862125,119.0,-0.021059992,-61.08354,132.0,-0.22069599,0.08742436,989.35144,0.59098464,0.24052912,-1.2208419,-155.00613,1.0434942,-0.044671156,2,0,0,0
73.32349,71.073105,-0.0004889409,806.51996,809.4765,0.0052924487,124.891685,-0.66644204,20.619644,59.94396,118.0,0.02964,-61.08354,132.0,-0.21403195,-0.082849436,989.36615,0.59859896,0.25833502,-0.95129764,-156.69518,0.94789565,0.04421325,2,0,0,0
73.34395,71.073105,0.00048233854,806.6346,809.34314,-0.0052543567,124.891685,0.519802,20.558273,59.9235,118.0,0.00156,-61.08354,132.0,-0.21559997,0.07868861,989.3133,0.54739344,0.26097652,-1.2236784,-155.21342,0.5115117,-0.043765597,2,0,0,0
73.34395,71.09357,-0.0004757736,806.41394,809.2006,0.0052165813,124.891685,-0.41630045,20.640102,59.841667,119.0,-0.014039995,-61.08354,132.0,-0.22441997,-0.07488796,989.333,0.524093,0.2826453,-0.9275772,-156.5834,0.70488185,0.04332786,2,0,0,0
73.34395,71.05265,0.00046924557,806.2042,809.5923,-0.0051791184,124.891685,0.34056172,20.496899,59.82121,118.0,0.00702,-61.08354,132.0,-0.21912797,0.07140256,989.33105,0.47140527,0.32669908,-1.1852065,-155.05109,0.47740048,-0.042899717,2,0,0,0
73.32349,71.05265,-0.0004627541,806.2804,808.8362,0.005141964,124.891685,-0.2833932,20.681019,59.82121,119.0,-0.03548998,-61.08354,132.0,-0.18698396,-0.068194635,989.36975,0.47139534,0.27985126,-0.93032074,-156.31198,0.76202077,0.04248086,2,0,0,0
73.34395,71.05265,0.00045629867,806.92096,809.48083,-0.0051051145,124.891685,0.23911823,20.599186,59.80075,118.0,-0.00038999537,-61.08354,132.0,-0.186592,0.06523223,989.347,0.49406,0.26411718,-1.1863539,-154.65038,1.0810153,-0.04207099,2,0,0,0
73.32349,71.032196,-0.00044987892,807.0344,808.9995,0.0050685653,124.891685,-0.20408879,20.353691,59.82121,118.0,-0.0148199815,-61.08354,132.0,-0.15934797,-0.062488113,989.38025,0.49743327,0.28913662,-0.95790195,-155.48656,0.99613446,0.041669823,2,0,0,0
73.34395,71.05265,0.00044349435,806.50507,809.65967,-0.0050323135,124.891685,0.17587271,20.640102,59.90304,119.0,0.0195,-61.08354,132.0,-0.096235976,0.05993892,989.3662,0.4094553,0.29607582,-1.1986499,-153.87549,1.0397967,-0.041277096,2,0,0,0
73.34395,71.05265,-0.00043714463,806.4406,809.7144,0.004996354,124.891685,-0.15279546,20.2514,59.82121,118.0,-0.0819,-61.08354,132.0,-0.07389198,-0.057564516,989.3612,0.3388733,0.29594424,-0.9324779,-154.76181,1.0087099,0.040892538,2,0,0,0
73.3644,71.05265,0.00043082927,806.6424,809.65094,-0.004960685,124.891685,0.13367179,20.640102,59.80075,118.0,-0.083850026,-61.08354,132.0,-0.07467599,0.055347454,989.37024,0.23802505,0.28647873,-1.2084454,-153.26396,1.0333662,-0.040515907,2,0,0,0
73.3644,71.05265,-0.00042454788,806.63354,810.08484,0.0049253013,124.891685,-0.117642395,20.455982,59.80075,118.0,-0.011309983,-61.08354,132.0,-0.07506798,-0.05327253,989.3521,0.1531587,0.33197644,-0.9517488,-154.08421,1.0130935,0.040146958,2,0,0,0
73.34395,71.05265,0.0004183001,806.66895,809.846,-0.0048901998,124.891685,0.10407127,20.455982,59.9235,118.0,-0.009360017,-61.08354,132.0,-0.22735997,0.05132643,989.3179,0.06724256,0.36144984,-1.1963665,-152.67003,1.0300502,-0.039785467,2,0,0,0
73.3644,71.05265,-0.0004120855,806.62714,809.5777,0.004855377,124.891685,-0.092478946,20.558273,59.841667,119.0,0.0046800002,-61.08354,132.0,-0.23617996,-0.04949747,989.32776,-0.026742801,0.33629927,-0.93282723,-153.46921,1.0135629,0.039431207,2,0,0,0
73.34395,71.032196,0.0004059037,807.06305,810.05853,-0.0048208297,124.891685,0.082498185,20.455982,59.80075,117.0,0.02496,-61.08354,132.0,-0.200704,0.04777532,989.3325,-0.15821324,0.3207624,-1.23169,-152.02638,1.0308765,-0.03908397,2,0,0,0
73.32349,71.011734,-0.00039975435,807.1057,809.99475,0.0047865547,124.891685,-0.073843606,20.496899,59.882584,118.0,-0.00038999537,-61.08354,132.0,-0.22422399,-0.04615084,989.3668,-0.18663447,0.30928314,-0.9381229,-152.57138,1.0132424,0.038743544,2,0,0,0
73.32349,71.032196,0.00039363705,807.17065,809.58746,-0.004752548,124.891685,0.06629063,20.558273,59.882584,118.0,-0.00467998,-61.08354,132.0,-0.22677197,0.044615906,989.3455,-0.1846796,0.27525952,-1.2415029,-151.14862,1.0309852,-0.038409743,2,0,0,0
73.30303,70.99128,-0.0003875514,806.55975,809.384,0.0047188066,124.891685,-0.059660465,20.37415,59.841667,118.0,-0.026520016,-61.08354,132.0,-0.22481199,-0.043163262,989.3267,-0.20735921,0.27121073,-0.9469532,-151.78445,1.0143191,0.038082372,2,0,0,0
73.3644,71.05265,0.0003814971,806.96246,810.24426,-0.004685327,124.891685,0.053809278,20.558273,59.780293,118.0,-0.04913998,-61.08354,132.0,-0.21932401,0.041786425,989.38184,-0.2553024,0.27726686,-1.2295761,-150.4708,1.0295186,-0.03776125,2,0,0,0
73.3644,71.032196,-0.00037547378,807.2538,810.3595,0.0046521067,124.891685,-0.048620276,20.435524,59.80075,117.0,-0.03432,-61.08354,132.0,-0.21207197,-0.04047957,989.3275,-0.22909532,0.29726228,-0.9940838,-151.01945,1.0150673,0.0374462,2,0,0,0
