AILERON POSITION LH,AILERON POSITION RH,CORRECTED ANGLE OF ATTACK,BARO CORRECT ALTITUDE LSP,BARO CORRECT ALTITUDE LSP,COMPUTED AIRSPEED LSP,SELECTED COURSE,DRIFT ANGLE,ELEVATOR POSITION LEFT,ELEVATOR POSITION RIGHT,T.E. FLAP POSITION,GLIDESLOPE DEVIATION,SELECTED HEADING,SELECTED AIRSPEED,LOCALIZER DEVIATION,N1 COMMAND LSP,TOTAL PRESSURE LSP,PITCH ANGLE LSP,ROLL ANGLE LSP,RUDDER POSITION,TRUE HEADING LSP,VERTICAL ACCELERATION,WIND SPEED,AP FD STATUS,GEARS L&R DOWN LOCKED,TCAS LSP,WEIGHT ON WHEELS
122.627266,62.030674,-0.0017926083,824.7502,827.8985,-0.0063662687,71.98191,54.263485,23.46331,59.759834,94.0,0.00156,118.91517,135.0,-0.262248,0.09455682,969.00665,-0.57951957,0.76703346,-0.5011634,-144.2223,1.0015984,0.4688591,2,0,0,0
122.443146,62.17388,0.001790026,825.75366,828.5408,0.0063655996,71.98191,54.39072,23.46331,59.759834,94.0,-0.0023400208,118.91517,135.0,-0.27381197,-0.08999938,968.8425,-0.5848227,0.7707602,-0.6305674,-146.04063,1.0133152,-0.4465605,2,0,0,0
122.13628,62.25571,-0.0017874545,824.77203,827.49384,-0.0063649775,71.98191,54.3073,23.565598,59.82121,94.0,-0.0011699818,118.91517,135.0,-0.27733997,0.0858559,969.00574,-0.579854,0.7674748,-0.48812848,-144.28186,1.0023587,0.4262859,2,0,0,0
123.11826,62.27617,0.0017848936,825.8808,828.91986,0.0063644024,71.98191,54.398506,23.688347,59.780293,94.0,-0.009360017,118.91517,135.0,-0.22794797,-0.0820725,968.8743,-0.5845188,0.7704211,-0.59984887,-145.98616,1.0125669,-0.40777168,2,0,0,0
123.65017,62.296627,-0.0017823433,824.8315,828.3474,-0.0063638734,71.98191,54.369793,23.708801,59.82121,94.0,-0.0062400126,118.91517,135.0,-0.25969997,0.07860422,969.0116,-0.58013123,0.76772225,-0.44469398,-144.33188,1.0024599,0.39079818,2,0,0,0
122.91368,62.317085,0.0017798034,825.9865,829.0594,0.006363391,71.98191,54.439724,23.729263,59.82121,95.0,-0.0031200072,118.91517,135.0,-0.26068,-0.07541332,968.88855,-0.584265,0.7702623,-0.543702,-145.94003,1.0116804,-0.3751808,2,0,0,0
123.28192,62.37846,-0.0017772741,824.5734,827.4141,-0.006362954,71.98191,54.368603,23.749718,59.759834,95.0,-0.01091999,118.91517,135.0,-0.25911197,0.07246782,969.00366,-0.5803644,0.7677855,-0.43851706,-144.37457,1.0036308,0.3607633,2,0,0,0
122.381775,62.37846,0.0017747551,825.6215,828.7373,0.006362563,71.98191,54.46226,23.729263,59.780293,94.0,-0.008580031,118.91517,135.0,-0.251664,-0.06974049,968.881,-0.5840502,0.7785614,-0.5539779,-145.9004,1.012209,-0.34741256,2,0,0,0
121.87032,62.358,-0.0017722466,825.1427,828.6251,-0.006362217,71.98191,54.41836,23.749718,59.841667,94.0,-0.0156000275,118.91517,135.0,-0.26440397,0.067207985,968.98486,-0.58056295,0.7795981,-0.4114742,-144.41148,1.0033883,0.33501437,2,0,0,0
123.3433,62.39892,0.0017697482,825.5201,828.76227,0.006361916,71.98191,54.51641,23.749718,59.759834,94.0,-0.0038999936,118.91517,135.0,-0.24676396,-0.06485017,968.8709,-0.58386624,0.77046335,-0.5480209,-145.86594,1.0124394,-0.32347035,2,0,0,0
123.67062,62.39892,-0.0017672601,825.0147,828.1142,-0.00636166,71.98191,54.48873,23.77018,59.759834,94.0,-0.017549993,118.91517,135.0,-0.263032,0.062649585,969.0028,-0.5807338,0.768471,-0.44042954,-144.44376,1.0040385,0.31269515,2,0,0,0
123.4865,62.39892,0.0017647821,825.6616,829.1577,0.0063614487,71.98191,54.52834,23.77018,59.780293,94.0,-0.023010017,118.91517,135.0,-0.25734797,-0.06059103,968.9092,-0.5837072,0.7692818,-0.5534984,-145.83563,1.011638,-0.30261445,2,0,0,0
123.44559,62.39892,-0.0017623142,825.183,828.52167,-0.0063612815,71.98191,54.512756,23.790634,59.780293,95.0,-0.021839978,118.91517,135.0,-0.27773198,0.058661208,968.99304,-0.5808821,0.76970726,-0.46891585,-144.47227,1.0043144,0.29316324,2,0,0,0
123.28192,62.39892,0.0017598565,825.4433,828.2872,0.0063611586,71.98191,54.51018,23.77018,59.759834,94.0,-0.0156000275,118.91517,135.0,-0.265384,-0.056848418,968.90106,-0.5835686,0.7801424,-0.56929106,-145.80875,1.0108037,-0.2842843,2,0,0,0
123.07735,62.37846,-0.0017574086,825.0671,827.64233,-0.0063610794,71.98191,54.460316,23.790634,59.780293,95.0,-0.011699976,118.91517,135.0,-0.255388,0.055142343,968.986,-0.5810119,0.7796114,-0.4570017,-144.49767,1.0047776,0.27592722,2,0,0,0
122.83185,62.37846,0.0017549706,825.2429,828.0856,0.0063610435,71.98191,54.530884,23.790634,59.73938,94.0,-0.011309983,118.91517,135.0,-0.26557997,-0.05353384,968.90894,-0.58344686,0.78042233,-0.5604348,-145.7847,1.0105875,-0.26804727,2,0,0,0
123.44559,62.37846,-0.0017525427,824.7484,828.43085,-0.006361051,71.98191,54.478718,23.749718,59.759834,94.0,-0.01091999,118.91517,135.0,-0.258916,0.052014787,968.97125,-0.5811262,0.7793037,-0.44474635,-144.52048,1.0046339,0.26060477,2,0,0,0
122.64773,62.37846,0.0017501244,825.31696,828.697,0.0063611013,71.98191,54.518322,23.749718,59.73938,94.0,-0.010529997,118.91517,135.0,-0.25146797,-0.050577927,968.909,-0.5833393,0.77061266,-0.57701486,-145.76302,1.0101062,-0.25356424,2,0,0,0
123.42513,62.39892,-0.0017477159,825.2454,827.82825,-0.0063611944,71.98191,54.42522,23.729263,59.759834,94.0,-0.0031200072,118.91517,135.0,-0.268324,0.049216785,969.0029,-0.58122754,0.7730844,-0.47157866,-144.54112,1.0051686,0.246894,2,0,0,0
